uwi,event_date,event_type,horizon,field,effect,description
WELL_117,2023-12-03,Pump replacement,C2,West,0.0,Pump replacement for well WELL_117 on horizon C2
WELL_118,2025-01-13,Isolation of water influx,D1,East,0.0,Isolation of water influx for well WELL_118 on horizon D1
WELL_118,2023-10-15,Treatment of the near-well zone,D1,East,2.7,Treatment of the near-well zone for well WELL_118 on horizon D1
WELL_118,2023-11-17,Optimization,D1,East,0.0,Optimization for well WELL_118 on horizon D1
WELL_118,2024-12-10,Well intervention,D1,East,0.0,Well intervention for well WELL_118 on horizon D1
WELL_118,2023-07-03,Isolation of water influx,D1,East,0.0,Isolation of water influx for well WELL_118 on horizon D1
WELL_119,2025-01-26,Well intervention,D2,Central,0.0,Well intervention for well WELL_119 on horizon D2
WELL_119,2025-02-25,Optimization,D2,Central,0.0,Optimization for well WELL_119 on horizon D2
WELL_120,2023-09-28,Well intervention,A1,North,0.0,Well intervention for well WELL_120 on horizon A1
WELL_120,2023-06-25,Isolation of water influx,A1,North,0.0,Isolation of water influx for well WELL_120 on horizon A1
WELL_122,2025-02-09,Treatment of the near-well zone,A3,West,2.3,Treatment of the near-well zone for well WELL_122 on horizon A3
WELL_123,2025-02-20,Change of horizon,B1,East,0.0,Change of horizon for well WELL_123 on horizon B1
WELL_123,2023-12-15,Pump replacement,B1,East,0.0,Pump replacement for well WELL_123 on horizon B1
WELL_123,2023-08-05,Change of horizon,B1,East,0.0,Change of horizon for well WELL_123 on horizon B1
WELL_123,2025-03-05,Optimization,B1,East,0.0,Optimization for well WELL_123 on horizon B1
WELL_124,2023-02-13,Pump replacement,B2,Central,0.0,Pump replacement for well WELL_124 on horizon B2
WELL_125,2024-10-04,Change of horizon,B3,North,0.0,Change of horizon for well WELL_125 on horizon B3
WELL_125,2023-05-23,Hydraulic fracturing,B3,North,1.65,Hydraulic fracturing for well WELL_125 on horizon B3
WELL_126,2024-02-10,Optimization,C1,South,0.0,Optimization for well WELL_126 on horizon C1
WELL_126,2025-02-20,Hydraulic fracturing,C1,South,2.42,Hydraulic fracturing for well WELL_126 on horizon C1
WELL_126,2024-05-11,Well intervention,C1,South,0.0,Well intervention for well WELL_126 on horizon C1
WELL_126,2025-01-14,Change of horizon,C1,South,0.0,Change of horizon for well WELL_126 on horizon C1
WELL_126,2023-11-05,Hydraulic fracturing,C1,South,1.09,Hydraulic fracturing for well WELL_126 on horizon C1
WELL_127,2024-12-10,Isolation of water influx,C2,West,0.0,Isolation of water influx for well WELL_127 on horizon C2
WELL_130,2025-02-19,Isolation of water influx,A1,North,0.0,Isolation of water influx for well WELL_130 on horizon A1
WELL_130,2025-02-26,Treatment of the near-well zone,A1,North,1.57,Treatment of the near-well zone for well WELL_130 on horizon A1
WELL_130,2024-04-23,Isolation of water influx,A1,North,0.0,Isolation of water influx for well WELL_130 on horizon A1
WELL_130,2024-11-08,Treatment of the near-well zone,A1,North,1.77,Treatment of the near-well zone for well WELL_130 on horizon A1
WELL_130,2024-02-14,Change of horizon,A1,North,0.0,Change of horizon for well WELL_130 on horizon A1
WELL_131,2024-07-17,Pump replacement,A2,South,0.0,Pump replacement for well WELL_131 on horizon A2
WELL_131,2023-08-31,Pump replacement,A2,South,0.0,Pump replacement for well WELL_131 on horizon A2
WELL_132,2023-07-06,Pump replacement,A3,West,0.0,Pump replacement for well WELL_132 on horizon A3
WELL_132,2024-02-07,Pump replacement,A3,West,0.0,Pump replacement for well WELL_132 on horizon A3
WELL_132,2024-03-26,Well intervention,A3,West,0.0,Well intervention for well WELL_132 on horizon A3
WELL_133,2023-06-05,Well intervention,B1,East,0.0,Well intervention for well WELL_133 on horizon B1
WELL_133,2023-05-14,Well intervention,B1,East,0.0,Well intervention for well WELL_133 on horizon B1
WELL_133,2023-07-11,Hydraulic fracturing,B1,East,1.21,Hydraulic fracturing for well WELL_133 on horizon B1
WELL_133,2024-11-27,Isolation of water influx,B1,East,0.0,Isolation of water influx for well WELL_133 on horizon B1
WELL_134,2024-12-12,Well intervention,B2,Central,0.0,Well intervention for well WELL_134 on horizon B2
WELL_135,2024-11-27,Change of horizon,B3,North,0.0,Change of horizon for well WELL_135 on horizon B3
WELL_135,2025-01-07,Pump replacement,B3,North,0.0,Pump replacement for well WELL_135 on horizon B3
WELL_135,2024-03-23,Workover,B3,North,2.15,Workover for well WELL_135 on horizon B3
WELL_138,2025-01-04,Isolation of water influx,D1,East,0.0,Isolation of water influx for well WELL_138 on horizon D1
WELL_138,2024-05-04,Well intervention,D1,East,0.0,Well intervention for well WELL_138 on horizon D1
WELL_138,2023-09-20,Pump replacement,D1,East,0.0,Pump replacement for well WELL_138 on horizon D1
WELL_138,2024-02-12,Pump replacement,D1,East,0.0,Pump replacement for well WELL_138 on horizon D1
WELL_138,2024-09-15,Treatment of the near-well zone,D1,East,1.92,Treatment of the near-well zone for well WELL_138 on horizon D1
WELL_139,2024-09-09,Well intervention,D2,Central,0.0,Well intervention for well WELL_139 on horizon D2
WELL_139,2023-04-14,Change of horizon,D2,Central,0.0,Change of horizon for well WELL_139 on horizon D2
WELL_139,2023-07-03,Change of horizon,D2,Central,0.0,Change of horizon for well WELL_139 on horizon D2
WELL_139,2024-07-17,Workover,D2,Central,1.8,Workover for well WELL_139 on horizon D2
WELL_141,2024-08-07,Workover,A2,South,1.39,Workover for well WELL_141 on horizon A2
WELL_143,2024-10-29,Workover,B1,East,2.28,Workover for well WELL_143 on horizon B1
WELL_143,2023-03-05,Well intervention,B1,East,0.0,Well intervention for well WELL_143 on horizon B1
WELL_144,2023-09-10,Workover,B2,Central,1.5,Workover for well WELL_144 on horizon B2
WELL_144,2025-03-19,Well intervention,B2,Central,0.0,Well intervention for well WELL_144 on horizon B2
WELL_145,2023-08-18,Well intervention,B3,North,0.0,Well intervention for well WELL_145 on horizon B3
WELL_145,2024-05-07,Isolation of water influx,B3,North,0.0,Isolation of water influx for well WELL_145 on horizon B3
WELL_145,2024-04-22,Hydraulic fracturing,B3,North,2.3,Hydraulic fracturing for well WELL_145 on horizon B3
WELL_145,2023-03-01,Isolation of water influx,B3,North,0.0,Isolation of water influx for well WELL_145 on horizon B3
WELL_145,2023-05-05,Workover,B3,North,2.79,Workover for well WELL_145 on horizon B3
WELL_147,2024-09-10,Workover,C2,West,2.08,Workover for well WELL_147 on horizon C2
WELL_148,2024-05-06,Change of horizon,D1,East,0.0,Change of horizon for well WELL_148 on horizon D1
WELL_148,2024-07-25,Treatment of the near-well zone,D1,East,2.37,Treatment of the near-well zone for well WELL_148 on horizon D1
WELL_148,2023-11-17,Change of horizon,D1,East,0.0,Change of horizon for well WELL_148 on horizon D1
WELL_148,2024-05-25,Change of horizon,D1,East,0.0,Change of horizon for well WELL_148 on horizon D1
WELL_149,2023-08-08,Optimization,D2,Central,0.0,Optimization for well WELL_149 on horizon D2
WELL_149,2024-04-20,Isolation of water influx,D2,Central,0.0,Isolation of water influx for well WELL_149 on horizon D2
WELL_149,2024-03-06,Change of horizon,D2,Central,0.0,Change of horizon for well WELL_149 on horizon D2
WELL_149,2024-11-28,Pump replacement,D2,Central,0.0,Pump replacement for well WELL_149 on horizon D2
WELL_149,2025-03-08,Change of horizon,D2,Central,0.0,Change of horizon for well WELL_149 on horizon D2
WELL_150,2023-02-18,Workover,A1,North,1.01,Workover for well WELL_150 on horizon A1
WELL_151,2023-09-12,Treatment of the near-well zone,A2,South,1.75,Treatment of the near-well zone for well WELL_151 on horizon A2
WELL_151,2024-11-30,Treatment of the near-well zone,A2,South,2.01,Treatment of the near-well zone for well WELL_151 on horizon A2
WELL_152,2023-02-26,Isolation of water influx,A3,West,0.0,Isolation of water influx for well WELL_152 on horizon A3
WELL_152,2023-09-21,Optimization,A3,West,0.0,Optimization for well WELL_152 on horizon A3
WELL_152,2023-05-19,Optimization,A3,West,0.0,Optimization for well WELL_152 on horizon A3
WELL_152,2023-02-18,Pump replacement,A3,West,0.0,Pump replacement for well WELL_152 on horizon A3
WELL_152,2023-05-01,Isolation of water influx,A3,West,0.0,Isolation of water influx for well WELL_152 on horizon A3
WELL_153,2024-01-01,Isolation of water influx,B1,East,0.0,Isolation of water influx for well WELL_153 on horizon B1
WELL_153,2025-03-06,Isolation of water influx,B1,East,0.0,Isolation of water influx for well WELL_153 on horizon B1
WELL_153,2023-07-07,Treatment of the near-well zone,B1,East,1.27,Treatment of the near-well zone for well WELL_153 on horizon B1
WELL_153,2025-02-25,Well intervention,B1,East,0.0,Well intervention for well WELL_153 on horizon B1
WELL_153,2023-07-26,Change of horizon,B1,East,0.0,Change of horizon for well WELL_153 on horizon B1
WELL_154,2023-11-18,Change of horizon,B2,Central,0.0,Change of horizon for well WELL_154 on horizon B2
WELL_154,2024-02-04,Change of horizon,B2,Central,0.0,Change of horizon for well WELL_154 on horizon B2
WELL_154,2024-12-10,Pump replacement,B2,Central,0.0,Pump replacement for well WELL_154 on horizon B2
WELL_156,2023-02-21,Workover,C1,South,2.59,Workover for well WELL_156 on horizon C1
WELL_158,2023-06-30,Isolation of water influx,D1,East,0.0,Isolation of water influx for well WELL_158 on horizon D1
WELL_158,2023-11-21,Treatment of the near-well zone,D1,East,1.73,Treatment of the near-well zone for well WELL_158 on horizon D1
WELL_159,2025-01-12,Pump replacement,D2,Central,0.0,Pump replacement for well WELL_159 on horizon D2
WELL_159,2023-07-18,Change of horizon,D2,Central,0.0,Change of horizon for well WELL_159 on horizon D2
WELL_159,2024-03-31,Well intervention,D2,Central,0.0,Well intervention for well WELL_159 on horizon D2
WELL_160,2024-09-05,Pump replacement,A1,North,0.0,Pump replacement for well WELL_160 on horizon A1
WELL_162,2024-03-11,Treatment of the near-well zone,A3,West,1.19,Treatment of the near-well zone for well WELL_162 on horizon A3
WELL_162,2023-08-02,Well intervention,A3,West,0.0,Well intervention for well WELL_162 on horizon A3
WELL_162,2024-07-18,Optimization,A3,West,0.0,Optimization for well WELL_162 on horizon A3
WELL_162,2023-07-18,Well intervention,A3,West,0.0,Well intervention for well WELL_162 on horizon A3
WELL_162,2023-05-17,Isolation of water influx,A3,West,0.0,Isolation of water influx for well WELL_162 on horizon A3
WELL_163,2025-02-23,Workover,B1,East,1.13,Workover for well WELL_163 on horizon B1
WELL_164,2023-03-12,Pump replacement,B2,Central,0.0,Pump replacement for well WELL_164 on horizon B2
WELL_164,2023-02-28,Optimization,B2,Central,0.0,Optimization for well WELL_164 on horizon B2
WELL_164,2023-03-21,Workover,B2,Central,2.26,Workover for well WELL_164 on horizon B2
WELL_164,2023-02-07,Workover,B2,Central,2.64,Workover for well WELL_164 on horizon B2
WELL_164,2023-11-26,Isolation of water influx,B2,Central,0.0,Isolation of water influx for well WELL_164 on horizon B2
WELL_165,2024-04-08,Well intervention,B3,North,0.0,Well intervention for well WELL_165 on horizon B3
WELL_165,2023-05-25,Pump replacement,B3,North,0.0,Pump replacement for well WELL_165 on horizon B3
WELL_165,2024-11-13,Workover,B3,North,2.55,Workover for well WELL_165 on horizon B3
WELL_165,2024-07-15,Treatment of the near-well zone,B3,North,2.71,Treatment of the near-well zone for well WELL_165 on horizon B3
WELL_166,2025-01-06,Pump replacement,C1,South,0.0,Pump replacement for well WELL_166 on horizon C1
WELL_166,2023-10-10,Well intervention,C1,South,0.0,Well intervention for well WELL_166 on horizon C1
WELL_166,2024-02-07,Well intervention,C1,South,0.0,Well intervention for well WELL_166 on horizon C1
WELL_166,2024-04-15,Pump replacement,C1,South,0.0,Pump replacement for well WELL_166 on horizon C1
WELL_167,2023-05-02,Hydraulic fracturing,C2,West,2.05,Hydraulic fracturing for well WELL_167 on horizon C2
WELL_167,2023-07-03,Treatment of the near-well zone,C2,West,1.34,Treatment of the near-well zone for well WELL_167 on horizon C2
WELL_167,2024-07-16,Pump replacement,C2,West,0.0,Pump replacement for well WELL_167 on horizon C2
WELL_167,2023-07-08,Pump replacement,C2,West,0.0,Pump replacement for well WELL_167 on horizon C2
WELL_167,2023-05-19,Isolation of water influx,C2,West,0.0,Isolation of water influx for well WELL_167 on horizon C2
WELL_168,2025-02-05,Well intervention,D1,East,0.0,Well intervention for well WELL_168 on horizon D1
WELL_168,2024-08-14,Optimization,D1,East,0.0,Optimization for well WELL_168 on horizon D1
WELL_169,2024-02-17,Pump replacement,D2,Central,0.0,Pump replacement for well WELL_169 on horizon D2
WELL_169,2024-03-15,Isolation of water influx,D2,Central,0.0,Isolation of water influx for well WELL_169 on horizon D2
WELL_169,2024-04-10,Treatment of the near-well zone,D2,Central,2.23,Treatment of the near-well zone for well WELL_169 on horizon D2
WELL_169,2023-04-18,Pump replacement,D2,Central,0.0,Pump replacement for well WELL_169 on horizon D2
WELL_169,2024-03-01,Pump replacement,D2,Central,0.0,Pump replacement for well WELL_169 on horizon D2
WELL_170,2024-05-19,Isolation of water influx,A1,North,0.0,Isolation of water influx for well WELL_170 on horizon A1
WELL_170,2024-04-09,Hydraulic fracturing,A1,North,1.23,Hydraulic fracturing for well WELL_170 on horizon A1
WELL_171,2025-02-17,Optimization,A2,South,0.0,Optimization for well WELL_171 on horizon A2
WELL_172,2024-09-14,Well intervention,A3,West,0.0,Well intervention for well WELL_172 on horizon A3
WELL_172,2023-08-17,Pump replacement,A3,West,0.0,Pump replacement for well WELL_172 on horizon A3
WELL_173,2023-07-30,Workover,B1,East,2.93,Workover for well WELL_173 on horizon B1
WELL_173,2024-01-17,Workover,B1,East,2.28,Workover for well WELL_173 on horizon B1
WELL_173,2024-11-30,Treatment of the near-well zone,B1,East,2.08,Treatment of the near-well zone for well WELL_173 on horizon B1
WELL_173,2024-07-25,Change of horizon,B1,East,0.0,Change of horizon for well WELL_173 on horizon B1
WELL_173,2025-01-29,Optimization,B1,East,0.0,Optimization for well WELL_173 on horizon B1
WELL_174,2024-09-24,Pump replacement,B2,Central,0.0,Pump replacement for well WELL_174 on horizon B2
WELL_174,2023-07-22,Hydraulic fracturing,B2,Central,1.12,Hydraulic fracturing for well WELL_174 on horizon B2
WELL_174,2024-11-07,Isolation of water influx,B2,Central,0.0,Isolation of water influx for well WELL_174 on horizon B2
WELL_178,2024-12-21,Treatment of the near-well zone,D1,East,2.33,Treatment of the near-well zone for well WELL_178 on horizon D1
WELL_178,2024-07-16,Change of horizon,D1,East,0.0,Change of horizon for well WELL_178 on horizon D1
WELL_178,2024-04-16,Isolation of water influx,D1,East,0.0,Isolation of water influx for well WELL_178 on horizon D1
WELL_178,2025-02-13,Treatment of the near-well zone,D1,East,1.72,Treatment of the near-well zone for well WELL_178 on horizon D1
WELL_179,2024-11-06,Pump replacement,D2,Central,0.0,Pump replacement for well WELL_179 on horizon D2
WELL_179,2023-08-21,Optimization,D2,Central,0.0,Optimization for well WELL_179 on horizon D2
WELL_180,2024-04-10,Change of horizon,A1,North,0.0,Change of horizon for well WELL_180 on horizon A1
WELL_181,2024-03-19,Isolation of water influx,A2,South,0.0,Isolation of water influx for well WELL_181 on horizon A2
WELL_181,2023-08-24,Pump replacement,A2,South,0.0,Pump replacement for well WELL_181 on horizon A2
WELL_181,2024-10-02,Pump replacement,A2,South,0.0,Pump replacement for well WELL_181 on horizon A2
WELL_181,2025-03-08,Workover,A2,South,1.41,Workover for well WELL_181 on horizon A2
WELL_181,2023-12-17,Change of horizon,A2,South,0.0,Change of horizon for well WELL_181 on horizon A2
WELL_182,2024-06-18,Hydraulic fracturing,A3,West,1.93,Hydraulic fracturing for well WELL_182 on horizon A3
WELL_182,2024-01-26,Isolation of water influx,A3,West,0.0,Isolation of water influx for well WELL_182 on horizon A3
WELL_182,2023-08-20,Optimization,A3,West,0.0,Optimization for well WELL_182 on horizon A3
WELL_182,2023-10-02,Optimization,A3,West,0.0,Optimization for well WELL_182 on horizon A3
WELL_182,2024-02-09,Optimization,A3,West,0.0,Optimization for well WELL_182 on horizon A3
WELL_183,2023-04-26,Isolation of water influx,B1,East,0.0,Isolation of water influx for well WELL_183 on horizon B1
WELL_184,2024-09-04,Optimization,B2,Central,0.0,Optimization for well WELL_184 on horizon B2
WELL_185,2025-01-12,Optimization,B3,North,0.0,Optimization for well WELL_185 on horizon B3
WELL_185,2023-07-05,Hydraulic fracturing,B3,North,2.7,Hydraulic fracturing for well WELL_185 on horizon B3
WELL_185,2023-08-29,Hydraulic fracturing,B3,North,1.02,Hydraulic fracturing for well WELL_185 on horizon B3
WELL_188,2024-05-15,Workover,D1,East,1.03,Workover for well WELL_188 on horizon D1
WELL_188,2024-11-05,Hydraulic fracturing,D1,East,2.03,Hydraulic fracturing for well WELL_188 on horizon D1
WELL_188,2024-10-20,Workover,D1,East,2.98,Workover for well WELL_188 on horizon D1
WELL_188,2023-05-29,Optimization,D1,East,0.0,Optimization for well WELL_188 on horizon D1
WELL_190,2023-04-08,Pump replacement,A1,North,0.0,Pump replacement for well WELL_190 on horizon A1
WELL_190,2023-06-05,Optimization,A1,North,0.0,Optimization for well WELL_190 on horizon A1
WELL_190,2025-01-28,Isolation of water influx,A1,North,0.0,Isolation of water influx for well WELL_190 on horizon A1
WELL_190,2025-03-22,Change of horizon,A1,North,0.0,Change of horizon for well WELL_190 on horizon A1
WELL_191,2023-08-09,Optimization,A2,South,0.0,Optimization for well WELL_191 on horizon A2
WELL_192,2023-08-23,Isolation of water influx,A3,West,0.0,Isolation of water influx for well WELL_192 on horizon A3
WELL_192,2023-10-02,Change of horizon,A3,West,0.0,Change of horizon for well WELL_192 on horizon A3
WELL_192,2023-07-30,Pump replacement,A3,West,0.0,Pump replacement for well WELL_192 on horizon A3
WELL_192,2023-11-11,Treatment of the near-well zone,A3,West,1.99,Treatment of the near-well zone for well WELL_192 on horizon A3
WELL_192,2024-09-11,Well intervention,A3,West,0.0,Well intervention for well WELL_192 on horizon A3
WELL_193,2023-07-26,Isolation of water influx,B1,East,0.0,Isolation of water influx for well WELL_193 on horizon B1
WELL_193,2023-10-11,Change of horizon,B1,East,0.0,Change of horizon for well WELL_193 on horizon B1
WELL_194,2024-03-25,Optimization,B2,Central,0.0,Optimization for well WELL_194 on horizon B2
WELL_195,2024-04-15,Optimization,B3,North,0.0,Optimization for well WELL_195 on horizon B3
WELL_195,2023-05-20,Hydraulic fracturing,B3,North,1.6,Hydraulic fracturing for well WELL_195 on horizon B3
WELL_196,2024-08-19,Change of horizon,C1,South,0.0,Change of horizon for well WELL_196 on horizon C1
WELL_196,2023-04-28,Workover,C1,South,2.76,Workover for well WELL_196 on horizon C1
WELL_198,2024-08-07,Pump replacement,D1,East,0.0,Pump replacement for well WELL_198 on horizon D1
WELL_200,2023-11-11,Well intervention,A1,North,0.0,Well intervention for well WELL_200 on horizon A1
WELL_200,2024-01-03,Optimization,A1,North,0.0,Optimization for well WELL_200 on horizon A1
WELL_201,2024-08-26,Treatment of the near-well zone,A2,South,2.27,Treatment of the near-well zone for well WELL_201 on horizon A2
WELL_201,2024-02-10,Hydraulic fracturing,A2,South,2.36,Hydraulic fracturing for well WELL_201 on horizon A2
WELL_201,2024-08-03,Treatment of the near-well zone,A2,South,2.93,Treatment of the near-well zone for well WELL_201 on horizon A2
WELL_201,2024-06-11,Isolation of water influx,A2,South,0.0,Isolation of water influx for well WELL_201 on horizon A2
WELL_201,2024-03-11,Change of horizon,A2,South,0.0,Change of horizon for well WELL_201 on horizon A2
WELL_202,2025-02-24,Optimization,A3,West,0.0,Optimization for well WELL_202 on horizon A3
WELL_202,2023-02-12,Well intervention,A3,West,0.0,Well intervention for well WELL_202 on horizon A3
WELL_202,2023-06-05,Isolation of water influx,A3,West,0.0,Isolation of water influx for well WELL_202 on horizon A3
WELL_202,2024-10-13,Isolation of water influx,A3,West,0.0,Isolation of water influx for well WELL_202 on horizon A3
WELL_203,2024-01-12,Optimization,B1,East,0.0,Optimization for well WELL_203 on horizon B1
WELL_203,2024-09-06,Treatment of the near-well zone,B1,East,1.21,Treatment of the near-well zone for well WELL_203 on horizon B1
WELL_203,2025-03-13,Optimization,B1,East,0.0,Optimization for well WELL_203 on horizon B1
WELL_204,2024-03-07,Hydraulic fracturing,B2,Central,2.47,Hydraulic fracturing for well WELL_204 on horizon B2
WELL_204,2024-11-17,Hydraulic fracturing,B2,Central,1.22,Hydraulic fracturing for well WELL_204 on horizon B2
WELL_204,2023-09-02,Isolation of water influx,B2,Central,0.0,Isolation of water influx for well WELL_204 on horizon B2
WELL_205,2023-09-07,Workover,B3,North,2.99,Workover for well WELL_205 on horizon B3
WELL_205,2024-06-06,Pump replacement,B3,North,0.0,Pump replacement for well WELL_205 on horizon B3
WELL_205,2025-02-19,Hydraulic fracturing,B3,North,1.15,Hydraulic fracturing for well WELL_205 on horizon B3
WELL_206,2024-04-19,Hydraulic fracturing,C1,South,1.34,Hydraulic fracturing for well WELL_206 on horizon C1
WELL_206,2023-12-11,Isolation of water influx,C1,South,0.0,Isolation of water influx for well WELL_206 on horizon C1
WELL_207,2023-05-28,Treatment of the near-well zone,C2,West,2.41,Treatment of the near-well zone for well WELL_207 on horizon C2
WELL_207,2023-03-17,Pump replacement,C2,West,0.0,Pump replacement for well WELL_207 on horizon C2
WELL_207,2023-10-12,Pump replacement,C2,West,0.0,Pump replacement for well WELL_207 on horizon C2
WELL_209,2024-05-14,Treatment of the near-well zone,D2,Central,2.98,Treatment of the near-well zone for well WELL_209 on horizon D2
WELL_210,2023-01-31,Isolation of water influx,A1,North,0.0,Isolation of water influx for well WELL_210 on horizon A1
WELL_210,2024-10-08,Optimization,A1,North,0.0,Optimization for well WELL_210 on horizon A1
WELL_210,2024-12-31,Optimization,A1,North,0.0,Optimization for well WELL_210 on horizon A1
WELL_211,2023-04-19,Workover,A2,South,2.84,Workover for well WELL_211 on horizon A2
WELL_212,2023-06-06,Well intervention,A3,West,0.0,Well intervention for well WELL_212 on horizon A3
WELL_212,2025-01-13,Change of horizon,A3,West,0.0,Change of horizon for well WELL_212 on horizon A3
WELL_212,2024-02-10,Pump replacement,A3,West,0.0,Pump replacement for well WELL_212 on horizon A3
WELL_213,2023-04-26,Treatment of the near-well zone,B1,East,2.23,Treatment of the near-well zone for well WELL_213 on horizon B1
WELL_213,2024-08-13,Workover,B1,East,1.36,Workover for well WELL_213 on horizon B1
WELL_213,2023-05-11,Hydraulic fracturing,B1,East,2.28,Hydraulic fracturing for well WELL_213 on horizon B1
WELL_213,2024-10-28,Well intervention,B1,East,0.0,Well intervention for well WELL_213 on horizon B1
WELL_215,2024-10-19,Workover,B3,North,1.41,Workover for well WELL_215 on horizon B3
WELL_215,2024-03-08,Hydraulic fracturing,B3,North,1.53,Hydraulic fracturing for well WELL_215 on horizon B3
WELL_216,2023-09-17,Well intervention,C1,South,0.0,Well intervention for well WELL_216 on horizon C1
WELL_216,2024-04-29,Hydraulic fracturing,C1,South,2.91,Hydraulic fracturing for well WELL_216 on horizon C1
WELL_216,2025-03-06,Optimization,C1,South,0.0,Optimization for well WELL_216 on horizon C1
WELL_217,2024-01-10,Pump replacement,C2,West,0.0,Pump replacement for well WELL_217 on horizon C2
WELL_218,2023-04-15,Isolation of water influx,D1,East,0.0,Isolation of water influx for well WELL_218 on horizon D1
WELL_218,2023-05-14,Well intervention,D1,East,0.0,Well intervention for well WELL_218 on horizon D1
WELL_218,2024-08-09,Hydraulic fracturing,D1,East,2.58,Hydraulic fracturing for well WELL_218 on horizon D1
WELL_218,2024-06-24,Treatment of the near-well zone,D1,East,2.41,Treatment of the near-well zone for well WELL_218 on horizon D1
WELL_218,2024-03-16,Pump replacement,D1,East,0.0,Pump replacement for well WELL_218 on horizon D1
WELL_219,2024-04-18,Optimization,D2,Central,0.0,Optimization for well WELL_219 on horizon D2
WELL_219,2025-03-21,Treatment of the near-well zone,D2,Central,1.56,Treatment of the near-well zone for well WELL_219 on horizon D2
WELL_220,2024-03-08,Treatment of the near-well zone,A1,North,2.29,Treatment of the near-well zone for well WELL_220 on horizon A1
WELL_220,2023-11-28,Isolation of water influx,A1,North,0.0,Isolation of water influx for well WELL_220 on horizon A1
WELL_220,2023-12-04,Optimization,A1,North,0.0,Optimization for well WELL_220 on horizon A1
WELL_220,2024-07-19,Hydraulic fracturing,A1,North,2.0,Hydraulic fracturing for well WELL_220 on horizon A1
WELL_220,2023-11-04,Well intervention,A1,North,0.0,Well intervention for well WELL_220 on horizon A1
WELL_221,2024-04-05,Optimization,A2,South,0.0,Optimization for well WELL_221 on horizon A2
WELL_221,2023-07-11,Change of horizon,A2,South,0.0,Change of horizon for well WELL_221 on horizon A2
WELL_221,2023-09-18,Change of horizon,A2,South,0.0,Change of horizon for well WELL_221 on horizon A2
WELL_221,2024-03-11,Treatment of the near-well zone,A2,South,2.5,Treatment of the near-well zone for well WELL_221 on horizon A2
WELL_221,2024-09-29,Workover,A2,South,1.84,Workover for well WELL_221 on horizon A2
WELL_224,2023-04-09,Treatment of the near-well zone,B2,Central,2.53,Treatment of the near-well zone for well WELL_224 on horizon B2
WELL_224,2023-11-14,Optimization,B2,Central,0.0,Optimization for well WELL_224 on horizon B2
WELL_224,2023-08-24,Pump replacement,B2,Central,0.0,Pump replacement for well WELL_224 on horizon B2
WELL_224,2023-03-04,Change of horizon,B2,Central,0.0,Change of horizon for well WELL_224 on horizon B2
WELL_225,2023-07-12,Well intervention,B3,North,0.0,Well intervention for well WELL_225 on horizon B3
WELL_225,2023-09-20,Treatment of the near-well zone,B3,North,2.08,Treatment of the near-well zone for well WELL_225 on horizon B3
WELL_225,2025-01-25,Hydraulic fracturing,B3,North,2.42,Hydraulic fracturing for well WELL_225 on horizon B3
WELL_225,2023-05-08,Isolation of water influx,B3,North,0.0,Isolation of water influx for well WELL_225 on horizon B3
WELL_226,2023-12-18,Workover,C1,South,2.91,Workover for well WELL_226 on horizon C1
WELL_226,2024-11-19,Treatment of the near-well zone,C1,South,2.93,Treatment of the near-well zone for well WELL_226 on horizon C1
WELL_226,2023-12-25,Pump replacement,C1,South,0.0,Pump replacement for well WELL_226 on horizon C1
WELL_227,2024-06-27,Hydraulic fracturing,C2,West,2.62,Hydraulic fracturing for well WELL_227 on horizon C2
WELL_230,2025-02-03,Change of horizon,A1,North,0.0,Change of horizon for well WELL_230 on horizon A1
WELL_230,2024-02-24,Hydraulic fracturing,A1,North,1.9,Hydraulic fracturing for well WELL_230 on horizon A1
WELL_231,2024-06-10,Optimization,A2,South,0.0,Optimization for well WELL_231 on horizon A2
WELL_231,2024-01-11,Optimization,A2,South,0.0,Optimization for well WELL_231 on horizon A2
WELL_232,2023-03-20,Pump replacement,A3,West,0.0,Pump replacement for well WELL_232 on horizon A3
WELL_232,2024-02-15,Hydraulic fracturing,A3,West,1.83,Hydraulic fracturing for well WELL_232 on horizon A3
WELL_233,2023-06-12,Pump replacement,B1,East,0.0,Pump replacement for well WELL_233 on horizon B1
WELL_233,2023-08-18,Hydraulic fracturing,B1,East,1.94,Hydraulic fracturing for well WELL_233 on horizon B1
WELL_235,2024-07-02,Treatment of the near-well zone,B3,North,2.86,Treatment of the near-well zone for well WELL_235 on horizon B3
WELL_236,2023-07-06,Well intervention,C1,South,0.0,Well intervention for well WELL_236 on horizon C1
WELL_236,2024-06-27,Well intervention,C1,South,0.0,Well intervention for well WELL_236 on horizon C1
WELL_236,2023-12-23,Well intervention,C1,South,0.0,Well intervention for well WELL_236 on horizon C1
WELL_237,2024-05-17,Treatment of the near-well zone,C2,West,1.43,Treatment of the near-well zone for well WELL_237 on horizon C2
WELL_237,2024-04-28,Optimization,C2,West,0.0,Optimization for well WELL_237 on horizon C2
WELL_237,2024-07-08,Pump replacement,C2,West,0.0,Pump replacement for well WELL_237 on horizon C2
WELL_238,2024-08-04,Pump replacement,D1,East,0.0,Pump replacement for well WELL_238 on horizon D1
WELL_238,2024-09-24,Workover,D1,East,2.39,Workover for well WELL_238 on horizon D1
